subject,attn,block,object,occluder,rep,x,y
F122,off,14,elephant,complete,3,774.099975585938,601
F122,off,14,elephant,complete,4,776.099975585938,605.299987792969
F122,off,14,elephant,complete,5,773.200012207031,599.599975585938
F122,off,14,elephant,complete,6,771,590.400024414062
F122,off,14,elephant,complete,7,774.099975585938,596.700012207031
F122,off,14,elephant,complete,8,776.099975585938,598.900024414062
F122,off,15,jeep,upper,1,789.700012207031,595
F122,off,15,jeep,upper,2,801.400024414062,600.299987792969
F122,off,15,jeep,upper,3,807.700012207031,604.700012207031
F122,off,15,jeep,upper,4,800.900024414062,594.799987792969
F122,off,15,jeep,upper,5,797.5,598.799987792969
F122,off,15,jeep,upper,6,814.099975585938,605.200012207031
F122,off,15,jeep,upper,7,815.700012207031,610.5
F122,off,15,jeep,upper,8,815.5,617.099975585938
F122,off,16,teapot,complete,1,799.099975585938,609.400024414062
F122,off,16,teapot,complete,2,801.400024414062,609.900024414062
F122,off,16,teapot,complete,3,787.5,611.299987792969
F122,off,16,teapot,complete,4,772.900024414062,607.5
F122,off,16,teapot,complete,5,765.900024414062,602.299987792969
F122,off,16,teapot,complete,6,763,602
F122,off,16,teapot,complete,7,760.900024414062,600.200012207031
F122,off,16,teapot,complete,8,759.900024414062,601.799987792969
F122,off,17,hare,upper,1,795.200012207031,614.200012207031
F122,off,17,hare,upper,2,800.099975585938,606.5
F122,off,17,hare,upper,3,805.5,611
F122,off,17,hare,upper,4,804.799987792969,615.700012207031
F122,off,17,hare,upper,5,811.799987792969,614.799987792969
F122,off,17,hare,upper,6,803.700012207031,619
F122,off,17,hare,upper,7,806.599975585938,613.299987792969
F122,off,17,hare,upper,8,807.299987792969,609.799987792969
F122,off,18,bison,complete,1,780.700012207031,602.099975585938
F122,off,18,bison,complete,2,778.700012207031,602
F122,off,18,bison,complete,3,778.5,600
F122,off,18,bison,complete,4,779.599975585938,599.5
F122,off,18,bison,complete,5,780.700012207031,604
F122,off,18,bison,complete,6,777.5,597.200012207031
F122,off,18,bison,complete,7,773,594
F122,off,18,bison,complete,8,776.900024414062,599.799987792969
F122,off,19,bison,lower,1,783.099975585938,605.400024414062
F122,off,19,bison,lower,2,786.700012207031,601.900024414062
F122,off,19,bison,lower,3,785.5,603.099975585938
F122,off,19,bison,lower,4,792.299987792969,611.700012207031
F122,off,19,bison,lower,5,796.200012207031,609.299987792969
F122,off,19,bison,lower,6,785.299987792969,602.700012207031
F122,off,19,bison,lower,7,778.799987792969,600.900024414062
F122,off,19,bison,lower,8,775.200012207031,606.200012207031
F122,off,20,bear,lower,1,763.700012207031,597.400024414062
