analysis,level,similarity,sem,rf_size,vis_ang,fix_std,num_units
object_completion,EdOd,-0.2841939354090734,0.0056630211105154135,0.74,3.866184880135131,0.38,96033
object_completion,EsUb,,,0.74,3.866184880135131,0.38,96033
object_completion,EsU1,,,0.74,3.866184880135131,0.38,96033
object_completion,EdUb,,,0.74,3.866184880135131,0.38,96033
object_completion,EdU1,,,0.74,3.866184880135131,0.38,96033
occlusion_invariance,EsOs,,,0.74,3.866184880135131,0.38,96033
occlusion_invariance,EsOd,,,0.74,3.866184880135131,0.38,96033
occlusion_invariance,EdOs,,,0.74,3.866184880135131,0.38,96033
occlusion_invariance,EdOd,,,0.74,3.866184880135131,0.38,96033
occlusion_invariance,EsUb,0.8287695558657091,0.026333627933242558,0.74,3.866184880135131,0.38,96033
occlusion_invariance,EsU1,0.47690116053235987,0.06144869742543065,0.74,3.866184880135131,0.38,96033
occlusion_invariance,EdUb,0.0029724448017259385,0.02129633082747075,0.74,3.866184880135131,0.38,96033
occlusion_invariance,EdU1,-0.1378271016885692,0.012303218516330502,0.74,3.866184880135131,0.38,96033
object_completion,EsOs,0.7656883274083739,0.02695131040824051,1.11,2.3445762152517156,0.38,102113
object_completion,EsOd,0.2930870897147454,0.06210384748543135,1.11,2.3445762152517156,0.38,102113
object_completion,EdOs,0.1639143597824996,0.024778013419144995,1.11,2.3445762152517156,0.38,102113
object_completion,EdOd,-0.19507076202159024,0.009086185870525707,1.11,2.3445762152517156,0.38,102113
object_completion,EsUb,,,1.11,2.3445762152517156,0.38,102113
object_completion,EsU1,,,1.11,2.3445762152517156,0.38,102113
object_completion,EdUb,,,1.11,2.3445762152517156,0.38,102113
object_completion,EdU1,,,1.11,2.3445762152517156,0.38,102113
occlusion_invariance,EsOs,,,1.11,2.3445762152517156,0.38,102113
occlusion_invariance,EsOd,,,1.11,2.3445762152517156,0.38,102113
occlusion_invariance,EdOs,,,1.11,2.3445762152517156,0.38,102113
occlusion_invariance,EdOd,,,1.11,2.3445762152517156,0.38,102113
occlusion_invariance,EsUb,0.813620330429382,0.02740116453796462,1.11,2.3445762152517156,0.38,102113
occlusion_invariance,EsU1,0.4894442972748471,0.0631805593851207,1.11,2.3445762152517156,0.38,102113
occlusion_invariance,EdUb,0.006742466748366081,0.02274779443531099,1.11,2.3445762152517156,0.38,102113
occlusion_invariance,EdU1,-0.1466925285848086,0.013157469235492159,1.11,2.3445762152517156,0.38,102113
object_completion,EsOs,0.7244566981248668,0.033167842857199176,1.48,1.6441655512021094,0.38,102879
object_completion,EsOd,0.4075396898210706,0.05485721453955371,1.48,1.6441655512021094,0.38,102879
object_completion,EdOs,0.09433708635559901,0.023142557348915477,1.48,1.6441655512021094,0.38,102879
object_completion,EdOd,-0.12818555136098014,0.013623784864839159,1.48,1.6441655512021094,0.38,102879
object_completion,EsUb,,,1.48,1.6441655512021094,0.38,102879
object_completion,EsU1,,,1.48,1.6441655512021094,0.38,102879
object_completion,EdUb,,,1.48,1.6441655512021094,0.38,102879
object_completion,EdU1,,,1.48,1.6441655512021094,0.38,102879
occlusion_invariance,EsOs,,,1.48,1.6441655512021094,0.38,102879
occlusion_invariance,EsOd,,,1.48,1.6441655512021094,0.38,102879
occlusion_invariance,EdOs,,,1.48,1.6441655512021094,0.38,102879
occlusion_invariance,EdOd,,,1.48,1.6441655512021094,0.38,102879
occlusion_invariance,EsUb,0.7958240075412943,0.02989128280483205,1.48,1.6441655512021094,0.38,102879
occlusion_invariance,EsU1,0.5117081011491373,0.06177955957821437,1.48,1.6441655512021094,0.38,102879
occlusion_invariance,EdUb,-0.004792815745236564,0.020987635176024647,1.48,1.6441655512021094,0.38,102879
occlusion_invariance,EdU1,-0.14687882472717848,0.013122856157397068,1.48,1.6441655512021094,0.38,102879
object_completion,EsOs,0.6351961054752331,0.044553170505757266,2.22,0.9970737470655973,0.38,103623
object_completion,EsOd,0.4965018086940675,0.050461154500868084,2.22,0.9970737470655973,0.38,103623
object_completion,EdOs,-0.01000027764876635,0.020963132407417887,2.22,0.9970737470655973,0.38,103623
object_completion,EdOd,-0.08826667621171197,0.019141738058716995,2.22,0.9970737470655973,0.38,103623
object_completion,EsUb,,,2.22,0.9970737470655973,0.38,103623
object_completion,EsU1,,,2.22,0.9970737470655973,0.38,103623
object_completion,EdUb,,,2.22,0.9970737470655973,0.38,103623
object_completion,EdU1,,,2.22,0.9970737470655973,0.38,103623
occlusion_invariance,EsOs,,,2.22,0.9970737470655973,0.38,103623
occlusion_invariance,EsOd,,,2.22,0.9970737470655973,0.38,103623
occlusion_invariance,EdOs,,,2.22,0.9970737470655973,0.38,103623
occlusion_invariance,EdOd,,,2.22,0.9970737470655973,0.38,103623
occlusion_invariance,EsUb,0.7429355677587712,0.03863120285689385,2.22,0.9970737470655973,0.38,103623
occlusion_invariance,EsU1,0.5909962484916947,0.05066239753173168,2.22,0.9970737470655973,0.38,103623
occlusion_invariance,EdUb,-0.0689242104790207,0.015262293608733154,2.22,0.9970737470655973,0.38,103623
occlusion_invariance,EdU1,-0.1083835730413001,0.015262366028181488,2.22,0.9970737470655973,0.38,103623
object_completion,EsOs,0.7599501275736672,0.027007198992184695,0.74,3.866184880135131,0.5,96198
object_completion,EsOd,0.2634788778840592,0.06101705217236595,0.74,3.866184880135131,0.5,96198
object_completion,EdOs,0.17371498740529945,0.024980483677964484,0.74,3.866184880135131,0.5,96198
object_completion,EdOd,-0.21429763585725115,0.011468272389317623,0.74,3.866184880135131,0.5,96198
object_completion,EsUb,,,0.74,3.866184880135131,0.5,96198
object_completion,EsU1,,,0.74,3.866184880135131,0.5,96198
object_completion,EdUb,,,0.74,3.866184880135131,0.5,96198
object_completion,EdU1,,,0.74,3.866184880135131,0.5,96198
occlusion_invariance,EsOs,,,0.74,3.866184880135131,0.5,96198
occlusion_invariance,EsOd,,,0.74,3.866184880135131,0.5,96198
occlusion_invariance,EdOs,,,0.74,3.866184880135131,0.5,96198
occlusion_invariance,EdOd,,,0.74,3.866184880135131,0.5,96198
occlusion_invariance,EsUb,0.8123579385795751,0.028481280982910688,0.74,3.866184880135131,0.5,96198
occlusion_invariance,EsU1,0.49143787880400003,0.06266240762269994,0.74,3.866184880135131,0.5,96198
occlusion_invariance,EdUb,0.001840544446012492,0.021469797619362258,0.74,3.866184880135131,0.5,96198
occlusion_invariance,EdU1,-0.13995245410679116,0.012948159499246145,0.74,3.866184880135131,0.5,96198
object_completion,EsOs,0.7243895028159961,0.03254382159029197,1.11,2.3445762152517156,0.5,102210
object_completion,EsOd,0.37549326947411227,0.05480659036171654,1.11,2.3445762152517156,0.5,102210
object_completion,EdOs,0.11030750820181388,0.02240652123826781,1.11,2.3445762152517156,0.5,102210
object_completion,EdOd,-0.14475172017272692,0.013992035124264463,1.11,2.3445762152517156,0.5,102210
object_completion,EsUb,,,1.11,2.3445762152517156,0.5,102210
object_completion,EsU1,,,1.11,2.3445762152517156,0.5,102210
object_completion,EdUb,,,1.11,2.3445762152517156,0.5,102210
object_completion,EdU1,,,1.11,2.3445762152517156,0.5,102210
occlusion_invariance,EsOs,,,1.11,2.3445762152517156,0.5,102210
occlusion_invariance,EsOd,,,1.11,2.3445762152517156,0.5,102210
occlusion_invariance,EdOs,,,1.11,2.3445762152517156,0.5,102210
occlusion_invariance,EdOd,,,1.11,2.3445762152517156,0.5,102210
occlusion_invariance,EsUb,0.7987563400520573,0.02942319639796896,1.11,2.3445762152517156,0.5,102210
occlusion_invariance,EsU1,0.49775817249996007,0.06381706830807095,1.11,2.3445762152517156,0.5,102210
occlusion_invariance,EdUb,0.005686205918336184,0.02300967098173891,1.11,2.3445762152517156,0.5,102210
occlusion_invariance,EdU1,-0.1469502715451883,0.013767525684845313,1.11,2.3445762152517156,0.5,102210
object_completion,EsOs,0.6920279839903748,0.03781305835885242,1.48,1.6441655512021094,0.5,103132
object_completion,EsOd,0.45685626880745944,0.04998697137643508,1.48,1.6441655512021094,0.5,103132
object_completion,EdOs,0.06044012898579848,0.021625071968583542,1.48,1.6441655512021094,0.5,103132
object_completion,EdOd,-0.09617058564397253,0.016568083924914902,1.48,1.6441655512021094,0.5,103132
object_completion,EsUb,,,1.48,1.6441655512021094,0.5,103132
object_completion,EsU1,,,1.48,1.6441655512021094,0.5,103132
object_completion,EdUb,,,1.48,1.6441655512021094,0.5,103132
object_completion,EdU1,,,1.48,1.6441655512021094,0.5,103132
occlusion_invariance,EsOs,,,1.48,1.6441655512021094,0.5,103132
occlusion_invariance,EsOd,,,1.48,1.6441655512021094,0.5,103132
occlusion_invariance,EdOs,,,1.48,1.6441655512021094,0.5,103132
occlusion_invariance,EdOd,,,1.48,1.6441655512021094,0.5,103132
occlusion_invariance,EsUb,0.7820778205611869,0.0311384896883456,1.48,1.6441655512021094,0.5,103132
occlusion_invariance,EsU1,0.512921004251437,0.0626007670480797,1.48,1.6441655512021094,0.5,103132
occlusion_invariance,EdUb,-0.00456444860746954,0.020976438059149866,1.48,1.6441655512021094,0.5,103132
