dumoulin,poltoratski,HCP,parameter
0.105975,0.16601692795209763,0.07877474999999999,slope
0.5475375000000001,0.3990056421828033,0.5463599999999998,intercept
0.6535125,0.565022570134901,0.62513475,FWHM at 1 dva
0.7594875,0.7310394980869985,0.7039094999999999,FWHM at 2 dva
0.8654625000000001,0.8970564260390962,0.7826842499999999,FWHM at 3 dva
0.9714375000000001,1.0630733539911938,0.8614589999999998,FWHM at 4 dva
